Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,165.5693970068,168.647077371,171.896456372,183.7201259021,201.5898027999,220.7067235375,232.445188487,241.4170989194,259.5831097224,238.398229423,296.1330822987,338.4233974436,362.4783077339,359.3461392317,428.8576171828,528.3084444948,526.3672894312,561.1077421127,601.1330922513,637.5756834384,702.5903667397,707.0255076383,776.40315858,653.6022319871,720.4100574153,764.7606811311,640.850513525,710.3624067903,774.910867286,846.9980739208,963.5573127743,1063.4334158584,1211.2903076378,1286.7935139004,1351.6140100333,1461.0182594104,1402.759854334,1238.9265575226,1147.7817131685,1071.3233388161,1196.7333085042,1409.1778752298,1681.31448106,2061.6127722526,2349.2868646568,2668.0359882616,2816.6669434778,3226.13137882,3264.4500626753,3365.7074205748,3614.7467661627,
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,924.6023995465,1008.5123220883,1108.8345898679,1232.3059669666,1358.1313215536,1468.7914963993,1588.571335948,1713.6120595199,1825.0594736839,2002.8493008702,2231.8709073351,2515.7851272264,3019.1623754136,3894.4054504827,4390.7510190871,5064.9876633,5261.2213780669,5959.5381050416,7265.6669312586,8766.9779684059,9780.6406811841,8467.995700647,8176.9885524505,7961.524165043,7624.2818918859,7818.1451497445,10944.8381329916,13500.1219345213,14796.8624458023,15048.563824875,18848.7926259809,19524.0473358631,21444.7578356776,19566.7740770258,20612.3776776641,23736.3863852754,23967.9219109707,21864.8408028606,22422.113782061,22261.7014064963,20207.1230274844,20444.1625551179,22128.9456719333,27156.4115362017,30977.1018329791,31979.5684914868,33791.7698937361,38706.316325174,42221.4927206653,38475.8477601153,37604.2662832925,40426.1129320406,37584.4454125784,38920.6198398243,39594.6458434789,33997.9132898137,
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.9520614641,148.4927895566,168.9040979406,182.6796050687,216.554170767,210.5402575161,223.396896565,200.871844206,199.8131951134,205.8460356871,192.507643238,221.5268126892,272.8328325753,262.0745298006,281.3750173483,299.1114518232,306.6651439196,404.1963090455,451.4266932972,544.4624311417,,,,,
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,396.3922533376,450.053289247,520.20613138,609.4873840565,675.2416391412,774.7616093301,889.6598720115,968.306781766,950.5457405937,1077.6786999459,1208.9966617797,1359.7693966722,1709.1937176223,2252.5138571922,2759.5399496749,3221.586395714,3288.4573953182,3631.8215519316,4343.7102721718,5753.0273304542,6200.3362703465,5359.1432456378,5151.5539929679,4472.0882385881,4483.8519553464,4693.0755892593,6504.0729324976,8228.7196346541,9689.538858498,10662.9242467351,13773.3656978541,14782.0389005817,16105.4187285163,13362.0183458364,13465.3778261116,15561.9727455217,16236.7716792911,14872.5658906784,15534.3598889091,15859.0860257836,14787.756063671,15359.1084396669,17019.5354136605,21495.7074076474,24918.6458419994,26510.7174533426,28482.6094833461,32709.4010383771,35578.736189717,32333.4661042498,30737.8322708385,31832.2380807085,28647.8352426892,29370.6638674201,29718.5002155441,25831.5823052954,
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3044.3791087955,3352.7302496866,3619.946703733,4052.2926718694,4148.0604583325,4070.0319035943,4498.9587041333,5308.3469611763,7174.2407922503,8850.4678499461,10338.3172625946,12595.414840361,16586.4079613909,18094.5473954875,14726.3139057181,14641.4031443742,17453.7537611724,17490.9931300409,19155.4212505428,20147.7782167553,17295.36383043,
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,202.9434641892,207.7008445852,223.9422521004,205.003399389,232.5103291304,233.9495665051,242.1735820411,242.9136121559,247.161191262,253.3479607253,270.4403308871,203.3416395585,165.1281267266,125.1288854698,133.8986024218,144.6929349947,141.0535554556,124.6775751817,119.2999887639,124.0509504531,120.3531152498,111.5311692954,119.0586587838,135.97636191,161.8769539083,194.0779936744,243.6288454844,325.7949006599,380.2648410333,341.8589561694,355.5889915132,469.7923038898,503.9026065869,573.5659603461,619.1435631121,
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,876.4940683843,946.161599195,1024.5222519631,1118.6553919117,1228.9627732799,1327.347824971,1427.9425681055,1523.3499203142,1572.8004687311,1716.4173421594,1933.9391055385,2176.2079257479,2589.5316582739,3268.8263612275,3653.7918403204,4237.4892438511,4368.0309565685,4925.7417338988,6010.9677022386,7312.7877671573,8313.3783314474,7327.8573095285,7034.0173207604,6802.3783281752,6515.7747521093,6719.1778462444,9187.9136784965,11337.1617746168,12605.7245633278,12825.3821443518,15851.8670315348,16419.0114590577,17839.4052790548,16212.7723171931,17177.6978555864,19683.6519562004,20090.4198327145,18913.3907410208,19549.6202920348,19480.355579105,18074.8330363292,18244.0063744753,19845.5459276649,24092.6155780344,27723.1817343232,28887.5179235389,30708.5201339901,35377.0452639275,37921.4539800559,33817.8774562279,33595.655659168,36241.9183717417,34150.5278543395,35402.4915235558,36425.565954594,31843.1854947788,
Fragile and conflict affected situations,FCS,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.1184207278,609.9758031993,574.7716550147,628.3132146945,701.5336465637,832.5914737163,950.0085147224,1151.9219633889,1426.9782584507,1278.5325642281,1458.9592776561,1521.6978603134,1719.5110850391,1696.6196438376,1643.5280080944,1440.3361950905,
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1179.3530109999,1327.427224366,1411.7023981804,1522.3192420995,1707.503938247,1882.0868576485,2010.2134561973,2034.1890496548,1907.0772721767,2178.0352504498,2467.4763465362,2718.2075518814,3180.005872638,4176.2727607876,5301.5427779955,6260.1912785093,6744.6969819958,7074.356529805,7634.4824076665,9339.1770757009,11232.274564422,10934.5680935815,10945.2773406605,10505.8336621689,10841.5671289286,11405.9336506035,14962.2553603914,18580.6586479255,22056.7017537988,23983.8457535829,28380.548911275,25503.2152090109,22337.4871236912,17617.0304386654,20305.5835495475,26273.4659031066,25777.6412996396,24676.4970769622,25989.407503518,26178.7917845508,24253.2504245786,24913.2445163584,26834.0262501804,32816.160880214,37636.1117341753,38969.171631813,41120.6765061581,48288.5490978186,53401.3148725198,47107.1557090705,46205.1660111855,50787.5649828531,47415.5598711351,49638.0771298139,49864.5762453579,41920.7977456941,
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,285.5597938822,287.3471770941,291.5558314644,296.7886455901,310.8880731448,317.0722638235,316.176267907,333.3105543091,334.6508069663,357.4587473263,422.4135104357,466.0437578584,583.3531541688,768.7356808053,987.9796650495,1186.7460540777,1182.1705902898,1202.7137742022,1360.8635621092,1640.6704099112,1893.0436854012,1898.5890560831,1786.9239624533,1638.642108792,1681.97401592,1603.5822079083,1795.6053274438,1632.073424056,1535.4119387223,1632.1382913435,1834.9946093428,1881.5801347503,2057.3984002686,2166.0584634503,2383.9182595513,2540.7515183404,2714.2431198615,2641.0680804727,2070.1684333212,2408.1654658158,2076.0133076767,2038.8992411133,2259.055795751,2835.9809174782,3332.914460015,3658.6174768005,3750.0349907742,4079.2288415609,4178.3216907354,3369.8552048594,3651.9582906354,4351.9193341241,4550.2670945237,4765.8440299434,5112.3818903725,4916.250995673,
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,1338.2996063057,1440.5543303289,1585.9172674285,1752.9644028355,1919.2667177056,2042.2403837278,2189.6708878716,2346.3629515483,2532.3147484766,2725.2176433187,2862.4692677335,3173.8400260794,3857.3727896017,4965.8547688263,5317.6195102198,6672.5113881643,6846.3521968113,7513.3449729884,9248.4416311044,11170.4601663549,12712.6013994711,11110.5597678072,10505.7354723033,10005.151671686,9432.2923568154,9775.3394345306,13557.1472150713,16324.3935591631,17696.5111500917,17704.9589834678,21795.2378254833,21782.4162038013,23937.0569176208,22503.2608510696,23625.5289969556,27037.9721319292,27015.2589591084,24359.4250618537,25101.3687369434,24799.2960096043,22465.6418414637,22527.3177509504,24275.2426027905,29691.1815836764,33874.7425478435,34879.7263291899,36544.5085344191,41600.5839748157,45413.065712185,41631.1314123702,40705.7662299421,43807.4759032413,40838.024436834,42571.1979897409,42546.8387870273,36248.1801907194,
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24502.2575227229,24550.3897333885,22850.4429638732,24566.0638419718,26731.1371367759,31098.0899974115,35008.1685188704,35808.8298627485,40617.3049771172,46878.115456099,49625.4786680383,46429.9206292594,47381.5227624969,50910.4340505074,48695.1711837983,54117.8444148388,,,
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,1320.062470562,,,1275.8675581025,1296.3209810717,1355.1401869159,1436.9068242446,1528.0646936085,1682.1862348178,1756.2024218041,1908.8486294582,1909.3506322072,2065.0042768418,2019.9525576415,1906.8097616722,2029.3266565653,2046.7915182547,2170.9606255236,2239.9169543716,2257.7736649748,2293.579613541,2247.8376730002,2352.6394094051,2393.9364118092,2435.1998477351,2501.5276820584,2669.3750541068,2838.4485470811,2998.6421972245,3147.6792021577,3044.0773728663,3057.0910247179,,
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,283.3976260895,332.5001038961,358.560975155,299.2237477422,411.7654403028,425.2942386033,453.1275351313,490.3023862587,520.3746470695,550.2802233624,548.7070836238,634.3119601993,702.1497233436,1157.1434078419,2425.3355635511,3320.8093600574,4533.7870584041,4138.784645201,3439.4160487162,4258.6981498825,5869.2311532386,5166.2724596491,4717.9078568372,4309.0247495522,4407.2570836786,4023.5525495069,3990.0147514699,3742.5967822921,4253.5975878981,4517.8012119563,6250.6432172473,5523.0349203869,5566.7947263746,4245.5142453132,3958.7382822336,4564.2693825,5107.3168808684,4656.9679089136,3821.8085538484,3878.0318528153,4115.0367836235,3981.8587862024,4119.1545955603,4929.322636637,5755.959504232,6865.3234973302,7206.9684081794,8632.7569511636,10523.2702492172,8003.7907434078,9312.0494626889,11530.1472010731,10642.4322523013,10658.7727292505,10772.0617537637,8311.4765121918,
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,1380.3062412626,1452.5447090136,1513.6514485493,1592.6144766156,1729.3999780357,1850.954768555,1959.6278296213,2023.6275637112,1896.3867486074,2032.347009645,2347.5443177375,2649.8015138722,3030.4325141198,3426.2762205038,3665.8627976419,4299.7456179928,4138.1677876154,4681.4399317304,5976.9381689999,7804.7620805116,10032.062080015,9599.3062222197,9146.0773570185,8691.5188130651,8179.1944406499,8652.2165424759,10611.112210096,13118.586534629,15987.1680775688,16239.2821960944,19095.4669984608,19900.7266505069,20487.1707852878,18389.0195675099,19709.2380983653,21330.276252903,22462.5094323584,24803.1474321952,26281.0477516525,26675.9155954667,26400.6564382696,25980.2203793473,28301.2083322425,32575.0919626199,38305.8726859929,40047.905967007,42534.3062613449,48428.1574527987,45195.1569273881,37166.2759654944,38292.8711313583,41020.3769643089,41294.5148008666,42294.8901157814,46278.5202128829,43734.0001709187,
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.6401223992,1314.670670204,757.2235485054,550.0155426092,517.0870879409,569.0181381433,670.4611048091,774.6802032943,805.2726845206,628.8656516455,691.9977101053,733.9704142073,779.3845934799,928.0108227168,1207.3672275029,1530.057520905,1872.6804160672,2492.1287799453,3174.9490006864,2706.5885115817,2964.4770480221,3725.0632212159,4142.8691753655,4274.3768729506,4429.6500745149,3795.9733084504,
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,182.9792462247,189.7132145619,195.1200160771,210.9689784984,230.4312919171,266.3187148775,269.4592355726,216.8414795791,202.7618610452,233.6512697914,257.652031459,273.8227964092,232.5398623323,263.6859639697,301.3666732093,285.8294665705,275.8779229477,312.9993439014,353.7091805391,381.0364486337,411.5180308742,379.7976752886,351.319205748,341.0870732545,358.3965861075,354.2197112846,437.0889481059,376.4604228896,375.2250190116,368.9981979909,402.588881651,438.5203726006,414.5616397031,375.0653336379,333.2178249908,385.7252601996,403.9197548286,392.2518164242,416.3262485488,419.8855508847,264.7025761681,275.4723720594,311.6168250278,375.8807044609,426.1592342406,501.7240745507,929.7266285841,1099.0223125796,1234.0799001109,1095.5032324553,1323.0991405686,1587.1908727476,1641.8259218244,1827.1013677999,1441.6364531117,1381.412478331,
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0638254047,379.8169353761,429.7367943026,421.9458060251,441.9257439518,473.5100491496,486.5106787075,458.2536495564,448.9177672216,469.7619072767,476.2003676542,454.1618446581,422.2820158741,400.2715164123,340.4142289822,316.3823076953,323.6278426436,371.320959305,387.3679616154,303.7609660517,296.1745762734,407.2065721533,433.0747552342,430.1999535437,430.0564738591,447.7909892855,487.3457142092,521.5389058682,539.6157749888,531.3205951887,
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,108.3152948901,112.1562637348,96.7327566997,103.6455316649,116.9211366168,121.0983412937,124.671880852,153.4886904928,189.5059532947,221.0499973591,209.1491165917,250.2509742242,302.6212046653,353.9478984988,398.895229735,349.7919707207,333.3089005585,317.0485013607,252.9447450649,308.3285320576,242.1689195462,274.3653224771,316.3157144566,322.4433777085,345.8546783629,727.0369581302,729.0545385821,748.8302522829,720.1160037158,737.5087333118,774.0526743086,713.2061833697,725.0082309088,682.9657144517,637.1055214626,542.5042831013,442.1866880463,360.6773243963,414.9810527582,433.2915831079,440.3139384423,519.9547092523,608.6464388319,549.5395066685,562.5681661425,516.9842549884,504.9890138198,484.1128649672,441.2938170144,,
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,110.6076114518,108.3515880144,118.8196838325,118.925895113,129.1224655313,139.9977650856,141.9094789169,142.7360883723,149.7085676569,142.1201570206,130.1984392331,178.4791569692,186.9972801677,180.8703739096,149.8076551226,152.2383441135,134.8030656647,175.9979690662,162.8351424493,206.3745503167,230.9791210725,238.0602812056,204.8627263617,209.6835936268,203.980392152,215.0663616446,224.0417855571,217.7111120543,163.8000810815,174.2967664313,281.4036602895,291.9505319232,303.0118618743,339.8607487385,370.9340772947,401.1472890458,395.9779938547,455.4358577677,553.4565057722,517.1470465791,518.5983608397,660.5867693561,580.643367388,584.2818451869,615.9409221997,573.0286189077,
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,,,35.3677268093,41.5345228873,48.0181587276,240.3186515581,250.8803136458,256.0408112472,233.8553926529,230.2140112656,228.0174922103,227.9520374736,238.0057119114,309.4646965645,377.2626887914,437.7755347063,453.6417186584,471.9154810296,,,229.5636126731,157.6902592395,176.2613269883,162.674303155,170.5273455779,197.5737335668,231.3643931824,271.9154293077,283.6052653261,241.5261542159,297.1128768542,284.0969004001,333.3667862521,325.155281449,232.7047551436,316.4025058591,501.1664189593,921.8521525571,746.8571690555,1209.9376945195,1970.2512289388,2661.4214791971,3182.7678737301,4234.6020858073,7276.0756558754,13129.5981770095,14162.0548880632,16186.17320583,23347.6608504426,14451.5242165903,17441.0925450303,22944.9262899318,23278.2300613417,21497.894425719,18918.2768313328,11120.8579902839,
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,533.6863812326,597.2873210123,630.6139412938,701.6204177529,784.9543484329,888.9219979053,981.6523944701,1052.1209927657,1134.3561514754,1284.2123155908,1494.3878552535,1652.3265992595,1899.6752725147,2502.8143584933,2828.7484321974,3153.2353057472,3390.545483593,3886.3742527092,4694.6336833478,5705.9492741993,5893.6618097916,5380.2676828435,5579.2347715898,5019.8786526613,4852.5657284733,4813.7111799107,5656.5053560681,6564.8845026081,7598.0280533499,7846.6781640145,9600.1851296597,10188.3697801238,11176.4584362517,10401.9829861914,11091.2838606376,12959.3243186619,13749.1151520996,13427.8324937945,13472.1376415276,13245.1894634121,12042.9537310995,12538.1788278361,14110.3133911078,18477.578411927,21955.1040911595,22551.735744099,24801.1578065035,28827.3263555224,31997.2820108813,29710.9702950284,26919.3616367757,25914.6815458943,22242.681934771,21842.7033068901,21627.3542876417,18035.5543201083,
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,591.2406586373,758.3714713731,884.2037848926,939.4500622233,970.3437740736,1022.9735199731,1054.4910901497,1118.4477657006,1283.3045617106,1438.0115887583,1682.7122556248,1881.7834460944,2199.4886282146,2295.9762215289,2504.4877960746,2581.4015783255,2545.8206268363,2633.4997714131,2755.990307485,2923.2494528736,3015.4832211693,3364.344384265,3742.3665717748,5117.5395627866,5109.9587152077,5292.2323792941,5773.2991511991,5836.1202118959,6754.3811745034,6764.7228669512,7322.5261714165,7946.6385006439,7394.9463183485,7365.6666592364,7410.761079915,7583.5464764321,7956.1418418286,8573.6939489584,9156.5471392291,
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,1498.2764929544,1876.5042235484,2196.714336939,2860.2806882004,3432.7059406678,4257.9125743211,4844.6562510061,5713.9630170602,7235.516837456,8480.7619953307,9483.1029684052,8544.0983111801,7813.6515951701,7988.1782385983,7198.708040151,7760.8345080239,11271.3330380617,14554.3520762171,16397.9501938761,16813.7414501107,18326.9285151847,18315.3156087397,18768.8264960747,16797.3573901144,18124.1007573944,21665.8308063995,21422.4622168251,19145.6144069473,20496.5798031634,20170.322763798,19004.0034517255,19275.4328079683,20652.8412682386,24706.2919331832,28416.7776652046,28985.3908702269,31902.5047515616,36070.919815783,40863.2573152497,41097.5563587729,40193.6660251226,44010.3332192995,41471.6558845075,42827.8082665792,43364.8828499176,,
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,252.8373092545,253.9336248999,262.4995437934,282.0687333689,282.3610918514,281.5868734908,286.2182231296,291.1014871711,313.8482393221,325.2111863251,351.0723194227,355.8376886757,366.2256087784,435.3115564607,520.9193918614,584.4696417725,681.2235400308,832.9394760559,898.7812132732,995.5445538842,1106.7722600479,1177.432675681,1161.0033002755,1173.7786930513,1196.6417330506,1197.6166906219,869.1743363227,831.1330987349,898.2974519626,940.7669225724,835.2990465041,1002.2480271807,1085.426708816,1156.1733888581,1284.6468213686,1415.121844843,1487.1026969096,1636.2131681278,1741.402185934,1605.528018566,1650.3659589763,1561.5957115969,1692.9637962801,1743.1660970874,1860.988804582,2064.0472484417,2241.005002298,2472.3890666247,2774.3180630057,2617.1121913019,2805.9514162227,3166.5823116215,3278.6291281022,3432.0217812319,3666.5946063331,3903.4908422066,
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,301.6830943445,319.3104404536,324.6134185446,283.9902786711,306.3561659377,327.8631200216,345.3039803873,372.2941602518,337.8338636725,362.5348647147,385.0129607612,400.7467913971,400.7101570666,425.9114172211,594.2734739319,668.4864996756,605.1067365461,590.0491182971,655.7970686487,678.5923085878,766.8309997025,724.05337484,613.6484583674,627.0553897504,565.9258746967,592.7619126999,667.8830769141,475.8670279869,563.0912458224,522.9413800913,550.5930500709,469.2787190825,513.1976055563,614.3454503754,747.8602024266,855.4163519984,966.0541821471,1020.8270440231,973.1657568391,938.6183640372,960.1867601264,936.9162238682,972.2164996042,999.1816472294,1058.9585152401,1110.9577173502,1961.0556232239,2334.0210421643,2569.9885057943,2698.0589910646,2998.9412742409,3408.7319033961,3759.383547097,3928.8789497663,4028.1639914829,4127.351018062,
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1399.1353416613,1458.9919640838,1554.972740655,1652.2854794871,1782.1519550012,1912.5316654405,2074.8808962409,2202.4198789559,2364.3825584151,2567.0009919838,2793.3524302676,3069.0909107431,3523.8017027233,4223.5174294981,4715.8944193423,5209.9294724034,5630.7080000059,6322.3567364127,7507.3530936997,8609.2782852198,9539.6193822256,9607.737225892,9444.991422636,9681.2742452458,10030.7529824136,10473.9423238041,12620.5866385711,14515.4948280332,16234.2913668265,16882.7206405177,18839.0371645149,19763.8288229171,21130.8455356191,21151.0132312854,22504.5543961249,24645.2334348948,24687.671454419,24146.6845979287,24053.0834784891,25102.2192276256,25446.9465784257,25045.3331453149,25946.0642899226,28912.5377762192,31966.657617797,33559.3971402432,35175.8203433853,38184.2423941525,40220.8389942448,37420.2051176881,38982.6420757451,41805.7870400549,41638.3441909324,41758.986855936,42329.5908776317,39576.860631403,
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,429.4438833141,483.1775608653,521.859758231,577.3467104388,649.0642595919,676.8055071101,685.9266141351,723.2392256167,714.4829695806,825.523449142,960.0319615107,1106.4697169592,1384.7384373227,1893.1812418946,2166.1814511926,2252.1118813686,2850.0146101832,3429.4202760725,3923.9437313276,4569.4537072422,5700.4126343582,5991.3202614197,6133.7840786052,5595.2351386385,6208.226159372,6542.9315367431,7435.0306975942,9055.1062670808,10609.7456394545,12097.7751586818,13485.5448929565,15465.8588553349,17976.4293827655,20395.5173666776,22502.5797409692,23497.4923138193,24818.1545523517,27330.0333502807,25808.970952453,25091.6665997966,25756.6637783278,25230.2163329516,24665.8899982779,23977.0194516698,24928.1003722551,26649.750801707,28224.2150609389,30594.0178410231,31515.6627713018,30697.340383517,32549.998231121,35142.4879344543,36707.7742282554,38364.1949010023,40215.6677311265,42422.8740206243,
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,167.6294602346,172.153391475,181.2586714335,185.5148285232,200.1959028616,216.2041997979,227.2300942801,240.5594203085,253.428414701,254.9604887607,268.6425081624,264.2381338643,282.2237510807,311.6259361585,343.0487935095,361.6781997178,420.6081626069,504.8400387301,565.2678423379,639.0346588679,705.7473715999,751.6976850271,750.5889027107,771.4929102634,807.2736842643,858.8920163042,872.2286500942,923.2137287052,857.2587955156,747.5553443052,621.7969546295,608.6915844805,660.1891707455,654.7505193349,629.1574617934,699.5095773732,704.6861480421,796.3177796294,869.1109452671,878.6513500468,1138.14703181,1187.5902331071,1196.5586529374,1228.4783614758,1298.9392897439,1405.7821602946,1547.2666586362,1720.7673599822,1899.5484701365,1975.7960993043,2110.8220208871,2323.7571146246,2395.0734419213,2356.5167036554,2434.280046303,2495.5904975867,
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),NY.GDP.PCAP.CD,89.8073763257,92.9500210092,95.6574250503,100.5637247623,107.3011811914,117.6494599667,124.3490334244,125.9176174776,125.823028812,132.4591065902,137.6604355169,142.4755217547,149.5054743994,174.1628475921,206.8903210135,231.505701597,246.710733471,279.0878498017,311.1276455135,345.0030475063,363.411778637,360.3478592857,346.6008489335,328.0167778178,331.6625987551,341.7921440613,382.6471337263,415.5772689146,397.0828341154,369.5070550531,365.20347076,366.1283740837,323.1135506111,318.7977079178,275.3782983372,305.6107045709,311.0680431413,317.5019782626,318.273016236,310.1869784124,327.0581436551,302.2922263457,319.3753280919,353.2382502217,394.4052146232,443.2177835002,514.7905084707,595.7327546888,698.0356055369,684.6906622427,736.9360274761,801.9645977082,830.7714963474,876.2711186876,900.0908528419,856.4423539714,
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4794.9372125133,5268.8056736451,5210.4302391096,5650.3320164862,5135.4733413906,4919.6280687083,5245.4214194414,6053.7160373911,7805.8814183311,9365.7424680119,10224.2405855179,11363.4184456056,13546.6987224454,15893.8605622792,14157.144161951,13509.1858157682,14542.1775991872,13235.9775701749,13574.9780420161,13480.6507536281,11535.8293558997,
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.5461962252,305.5542997977,249.4121386874,282.4220625795,359.768548644,365.0034112875,411.6021426566,450.9192276534,494.2337733065,462.4813299137,413.7378803954,393.0157939496,329.7819843955,387.9427209041,465.3101353539,505.5848205458,615.8157846855,674.7493925741,668.2919749321,662.2795181624,740.9478230176,766.8722334253,810.3265495894,830.1500551144,828.8124713689,
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3333.9010477041,3716.8695681997,3855.0733951579,4152.9969791594,4472.7626979019,4508.1760808459,4580.0267690718,4735.2920084986,4789.5329538944,4619.5286328264,5266.8500605095,6646.2382549559,8391.1419516143,10254.241027541,11155.9614487481,11392.0680693742,13830.8324125299,15649.7229729163,12948.0766708512,13009.3453790731,14032.7742633362,12819.7120588032,13585.4301761498,14021.902274347,12259.1150279573,
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,155.4559976585,146.9801365827,150.9508779953,157.363669341,174.525142214,187.4520531367,188.2541182718,189.1598003576,195.8144698317,214.0292271567,226.5700484999,241.8930972564,266.2345751157,335.2268264157,414.7389335096,439.9959497597,471.2949808128,524.5665030652,557.6402803492,654.9545951477,755.3400929269,804.8889008641,783.4450938278,759.4045708097,757.5968858043,784.2333707031,799.5091604518,799.5182526081,860.2501310136,912.1875613436,1015.5035754317,1078.681150107,1058.2692498622,1115.9435798319,1203.6514106369,1330.0399109934,1432.1953094627,1495.5927793248,1432.3219911234,1373.7164076035,1476.2397635842,1479.3633685666,1484.5382274607,1657.4779629544,1949.7315020199,2304.4895705373,2702.9967979196,3331.4656360525,3956.479433905,3796.0096340272,4568.7074420398,5334.4351729291,5592.4819384655,5849.3387259782,5937.3939490328,5517.926737212,
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,143.0690504413,136.9363966995,140.6712069444,146.3786499804,161.270933252,173.5117896996,175.3403014346,176.2749411069,181.8776518527,198.4720396344,212.4388470525,223.9155754098,243.9365420862,303.0754382253,377.3862289658,404.3691186528,430.4465839566,476.106249466,506.7476689034,593.4717170101,684.3940419445,724.2109804397,701.3224380387,672.4075410699,668.4203461896,690.0566182975,706.0499863236,713.0676271595,757.4462970894,790.5491330914,873.5111885749,922.6826726442,901.2587705239,941.7462442266,1006.0766268917,1111.8421743228,1195.2762076455,1243.7074228475,1190.6299306404,1143.5184551051,1226.8691859508,1223.2582988975,1229.1860076868,1368.733810398,1602.9181398744,1885.145665521,2206.5564677504,2699.4986757821,3196.6843080434,3061.9360678879,3684.2310520902,4276.3229478398,4475.4032338116,4673.261308669,4747.0704869956,4412.2349618049,
